",",Notes,Year,Country,Director,Subtitles,Link 1,Link 1
Elite Squad,,2007,Brazil,José Padilha,yes,https://drive.google.com/open?id=1ZvJNWKVHlMg6CCrxdhMAO2ZIlxUEdqpsCw,
The Peach Thief,,1964,Bulgaria,Vulo Radev  ,yes,https://drive.google.com/open?id=1q-Faqh_PtRJ_lMgBaLUqmZXx48r4e2yeLQ,
Grandmother,,1989,Burkina Faso,Idrissa Ouedraogo,yes,https://drive.google.com/open?id=1ijLBkXkwuAIn6G7R_CebjhN2zWbvNNcOQw,
La Région Centrale,,1971,Canada,Michael Snow,no dialog,https://drive.google.com/open?id=1-VW-vbrRKkcOA6c2IBZrug32m5k3dGPhkg,https://drive.google.com/open?id=1Usd5uQee1mqirbnicXfpfedmvMVJnb9GjA
Rabid,,1977,Canada,David Cronenberg,yes,https://drive.google.com/open?id=15HkKNtfhS0b04uT8wIkpY0l6lkyz24CIfw,
The Brood,,1979,Canada,David Cronenberg,yes,https://drive.google.com/open?id=1Hr5L8Wpq0vYcBNaYImuaiUsWrM9Zfnif2g,
Scanners,,1981,Canada,David Cronenberg,yes,https://drive.google.com/open?id=1_LMvcU6OV1BSdKzbFOZNhKJsdfCl0o_kUA,
The Dead Zone,,1983,Canada,David Cronenberg,yes,https://drive.google.com/open?id=1V7diCjyN_SFwn60V1XEej_5nJKKIGiK6aQ,
Videodrome,,1983,Canada,David Cronenberg,yes,https://drive.google.com/open?id=1z8Qu-ijhgUJRbK54XaSNPrKu5GOUDJEe9w,
The Fly,,1986,Canada,David Cronenberg,yes,https://drive.google.com/open?id=1DbkUb3FovklrkT8Qod-u-ikRnBsbOOeTAA,
Dead Ringers,,1988,Canada,David Cronenberg,yes,https://drive.google.com/open?id=14ggSvLPxoVa80PHdMutkNj5x6NvMjMofog,
Naked Lunch,,1991,Canada,David Cronenberg,yes,https://drive.google.com/file/d/13Xo4acQGceRp0Hsra9ytsq88AGhO1N-eaA/view,
Calendar,,1993,Canada,Atom Egoyan,no,https://drive.google.com/file/d/1qK1z6tOnyf9bUZbiQi2MIjB5GFSWceSHug/view,
Exotica,,1994,Canada,Atom Egoyan,yes,https://drive.google.com/file/d/1kZH1R7BymxhivVCzkgFixfrg7-yOPrSVMA/view,
